duration,protocol_type,service,flag,src_bytes,dst_bytes,failed_logins,traffic_count,logged_in,label,attack_type
0,tcp,smtp,SF,746,693,0,22,1,Normal,Normal
1,tcp,http,S0,0,0,0,381,0,Intrusion/Attack,SYN Flood
22,udp,dns,SF,693,468,0,67,0,Normal,Normal
12,tcp,ssh,SF,90,4408,0,18,1,Normal,Normal
6,tcp,ftp,SF,248,326,4,27,0,Intrusion/Attack,Brute Force
13,udp,dns,SF,455,2491,1,1,0,Normal,Normal
11,tcp,smtp,SF,211,152,0,37,1,Normal,Normal
30,tcp,http,SF,160,8937,0,4,1,Normal,Normal
1,tcp,ssh,SF,153,654,0,2,1,Normal,Normal
0,tcp,other,SF,955,3950,0,5,0,Normal,Normal
24,tcp,ftp,RSTO,196,390,2,23,0,Intrusion/Attack,Brute Force
61,udp,dns,SF,1267,2591,0,2,0,Normal,Normal
4,tcp,smtp,SF,1752,4710,0,11,1,Normal,Normal
9,tcp,http,SF,51,1177,0,38,1,Normal,Normal
0,tcp,ftp,SF,1337,2573,0,4,1,Normal,Normal
49,udp,dns,SF,1087,4356,0,50,0,Normal,Normal
1,tcp,http,SF,253,444,0,7,1,Normal,Normal
32,tcp,ssh,SF,668,401,4,36,0,Intrusion/Attack,Brute Force
20,tcp,http,SF,246,2484,0,20,1,Normal,Normal
11,tcp,http,SF,1792,96,0,10,0,Normal,Normal
55,tcp,http,SF,1201,1667,1,2,1,Normal,Normal
1,tcp,dns,S0,20,0,0,276,0,Intrusion/Attack,Port Scan
11,tcp,smtp,SF,524,502,0,47,0,Normal,Normal
24,udp,dns,SF,816,3756,0,16,0,Normal,Normal
31,tcp,ssh,SF,207,83,2,25,0,Intrusion/Attack,Brute Force
0,tcp,http,S0,32,48,0,323,0,Intrusion/Attack,SYN Flood
8,udp,dns,SF,336,2993,0,18,0,Normal,Normal
1,tcp,dns,S0,0,0,0,119,0,Intrusion/Attack,Port Scan
12,udp,dns,SF,388,4911,0,7,0,Normal,Normal
16,tcp,http,SF,325,355,0,36,1,Normal,Normal
2,tcp,http,REJ,60,0,0,216,0,Intrusion/Attack,Port Scan
15,tcp,ssh,REJ,593,123,2,15,0,Intrusion/Attack,Brute Force
1,tcp,http,S0,128,0,0,307,0,Intrusion/Attack,SYN Flood
15,udp,other,SF,1183,1787,0,12,0,Normal,Normal
2,tcp,http,SF,605,818,0,26,1,Normal,Normal
7,tcp,smtp,SF,278,6366,0,54,1,Normal,Normal
6,udp,dns,SF,745,2141,0,7,0,Normal,Normal
1,tcp,ftp,SF,568,4130,0,1,1,Normal,Normal
0,tcp,dns,REJ,0,0,0,190,0,Intrusion/Attack,Port Scan
4,udp,dns,SF,162,1146,0,21,0,Normal,Normal
22,udp,dns,SF,777,5713,0,25,0,Normal,Normal
4,tcp,http,SF,439,8904,0,15,1,Normal,Normal
6,tcp,http,SF,386,3072,0,15,1,Normal,Normal
4,tcp,http,SF,507,2952,0,3,1,Normal,Normal
14,tcp,ftp,RSTO,311,242,4,30,0,Intrusion/Attack,Brute Force
0,tcp,http,S0,128,0,0,206,0,Intrusion/Attack,SYN Flood
2,tcp,dns,REJ,60,0,0,156,0,Intrusion/Attack,Port Scan
17,tcp,http,SF,310,1273,0,15,1,Normal,Normal
27,udp,dns,SF,471,1135,0,1,0,Normal,Normal
5,tcp,http,SF,123,5449,0,12,1,Normal,Normal
10,udp,dns,SF,236,8735,0,9,0,Normal,Normal
41,tcp,smtp,SF,116,638,0,1,0,Normal,Normal
4,tcp,http,SF,42,338,0,17,1,Normal,Normal
12,udp,dns,SF,179,702,0,3,0,Normal,Normal
19,tcp,http,SF,674,8517,0,6,1,Normal,Normal
0,tcp,ssh,S0,128,0,0,340,0,Intrusion/Attack,SYN Flood
22,udp,dns,SF,730,948,0,10,0,Normal,Normal
0,tcp,http,S0,40,0,0,310,0,Intrusion/Attack,SYN Flood
29,tcp,http,SF,168,596,0,41,1,Normal,Normal
33,tcp,ssh,SF,460,147,2,30,0,Intrusion/Attack,Brute Force
0,tcp,http,RSTO,32,0,0,310,0,Intrusion/Attack,SYN Flood
5,tcp,http,SF,63,2950,0,6,1,Normal,Normal
2,tcp,dns,RSTR,0,0,0,137,0,Intrusion/Attack,Port Scan
0,tcp,http,RSTO,64,48,0,242,0,Intrusion/Attack,SYN Flood
18,tcp,ssh,SF,75,3738,0,7,0,Normal,Normal
11,tcp,http,SF,1102,4575,0,15,0,Normal,Normal
3,udp,dns,SF,433,6100,0,21,0,Normal,Normal
5,tcp,http,SF,502,8729,0,4,0,Normal,Normal
15,icmp,other,SF,380,1621,0,2,0,Normal,Normal
24,tcp,http,SF,323,3334,0,24,1,Normal,Normal
7,tcp,http,SF,114,4124,0,2,1,Normal,Normal
0,tcp,http,S0,0,0,0,260,0,Intrusion/Attack,SYN Flood
32,tcp,http,SF,87,161,0,12,0,Normal,Normal
33,tcp,http,SF,762,377,0,36,1,Normal,Normal
1,tcp,http,S0,128,0,0,165,0,Intrusion/Attack,SYN Flood
72,udp,dns,SF,70,130,0,42,0,Normal,Normal
51,udp,dns,SF,351,9941,0,17,0,Normal,Normal
27,udp,dns,SF,366,1143,0,5,0,Normal,Normal
12,tcp,http,SF,364,42,0,6,0,Normal,Normal
40,tcp,smtp,SF,187,308,0,56,1,Normal,Normal
1,tcp,http,S0,0,48,0,434,0,Intrusion/Attack,SYN Flood
0,tcp,http,S0,0,48,0,395,0,Intrusion/Attack,SYN Flood
0,tcp,http,S0,40,0,0,216,0,Intrusion/Attack,SYN Flood
40,icmp,other,SF,668,1312,0,25,0,Normal,Normal
5,tcp,smtp,SF,1271,338,0,22,1,Normal,Normal
9,tcp,ssh,RSTO,443,216,4,39,0,Intrusion/Attack,Brute Force
2,tcp,ssh,SF,1273,1663,0,5,1,Normal,Normal
35,tcp,http,SF,141,8560,0,35,1,Normal,Normal
15,tcp,ssh,SF,77,2910,0,28,1,Normal,Normal
3,udp,dns,SF,2320,3968,0,5,0,Normal,Normal
2,icmp,other,SF,1589,1342,0,5,0,Normal,Normal
14,tcp,http,SF,744,1690,0,4,0,Normal,Normal
0,tcp,ssh,REJ,60,0,0,156,0,Intrusion/Attack,Port Scan
9,udp,dns,SF,166,2455,1,15,0,Normal,Normal
7,tcp,http,SF,1911,1251,0,11,1,Normal,Normal
1,tcp,http,S0,64,0,0,277,0,Intrusion/Attack,SYN Flood
27,tcp,http,SF,621,2410,0,42,1,Normal,Normal
12,udp,dns,SF,773,6194,0,8,0,Normal,Normal
17,icmp,other,SF,56,4769,0,2,0,Normal,Normal
32,tcp,http,SF,983,2465,0,3,1,Normal,Normal
2,tcp,http,SF,30,1259,0,20,1,Normal,Normal
38,udp,dns,SF,306,1693,0,5,0,Normal,Normal
3,tcp,ftp,SF,773,275,4,26,0,Intrusion/Attack,Brute Force
8,icmp,other,SF,30,876,0,3,0,Normal,Normal
17,udp,dns,SF,30,1339,0,39,0,Normal,Normal
0,tcp,http,S0,32,0,0,228,0,Intrusion/Attack,SYN Flood
34,tcp,smtp,SF,409,1194,0,39,1,Normal,Normal
0,tcp,http,SF,157,2890,0,6,1,Normal,Normal
3,tcp,http,SF,104,2545,0,23,1,Normal,Normal
60,udp,dns,SF,752,8900,0,3,0,Normal,Normal
51,tcp,http,REJ,60,1558,0,16,1,Normal,Normal
1,icmp,ftp,S0,120,20,0,128,0,Intrusion/Attack,Port Scan
31,tcp,smtp,SF,530,965,0,6,0,Normal,Normal
54,tcp,ssh,SF,80,1600,0,2,1,Normal,Normal
10,tcp,ftp,SF,614,43,0,44,1,Normal,Normal
60,tcp,http,SF,110,1867,0,7,1,Normal,Normal
2,tcp,smtp,SF,633,604,0,13,1,Normal,Normal
0,tcp,ssh,SF,69,3129,0,8,1,Normal,Normal
15,tcp,http,SF,102,491,0,5,1,Normal,Normal
0,tcp,http,SF,739,1905,0,28,1,Normal,Normal
18,tcp,ssh,SF,123,1551,0,11,1,Normal,Normal
23,udp,other,SF,700,4660,0,10,0,Normal,Normal
0,tcp,ssh,S0,32,48,0,286,0,Intrusion/Attack,SYN Flood
9,udp,dns,SF,154,5798,0,6,0,Normal,Normal
8,tcp,smtp,SF,244,8765,0,17,1,Normal,Normal
0,tcp,telnet,REJ,120,20,0,155,0,Intrusion/Attack,Port Scan
6,tcp,http,SF,991,2477,0,18,1,Normal,Normal
8,tcp,http,SF,50,269,0,5,1,Normal,Normal
2,tcp,ssh,SF,769,215,4,28,0,Intrusion/Attack,Brute Force
15,tcp,smtp,SF,1995,4392,0,17,1,Normal,Normal
1,tcp,http,S0,32,0,0,321,0,Intrusion/Attack,SYN Flood
5,tcp,ssh,REJ,380,385,4,29,0,Intrusion/Attack,Brute Force
27,tcp,ssh,SF,34,449,0,2,0,Normal,Normal
0,tcp,other,S0,32,48,0,264,0,Intrusion/Attack,SYN Flood
4,tcp,http,SF,1315,2480,0,21,1,Normal,Normal
6,tcp,http,SF,318,4065,0,3,1,Normal,Normal
53,tcp,ssh,SF,1139,274,0,21,1,Normal,Normal
3,tcp,http,SF,52,2858,0,28,1,Normal,Normal
12,tcp,http,REJ,66,2290,1,3,1,Normal,Normal
23,tcp,http,SF,1060,556,0,3,1,Normal,Normal
13,tcp,http,SF,1099,898,0,10,1,Normal,Normal
14,tcp,http,SF,2275,3121,0,23,1,Normal,Normal
8,tcp,http,SF,126,7993,0,68,1,Normal,Normal
1,tcp,http,REJ,20,20,0,150,0,Intrusion/Attack,Port Scan
3,tcp,ftp,SF,100,63,0,24,1,Normal,Normal
77,tcp,smtp,SF,172,132,0,1,0,Normal,Normal
21,tcp,smtp,SF,134,3047,0,23,1,Normal,Normal
20,icmp,other,SF,648,912,0,9,0,Normal,Normal
5,tcp,http,SF,2159,2462,0,9,1,Normal,Normal
0,tcp,http,S0,32,0,0,431,0,Intrusion/Attack,SYN Flood
13,tcp,http,REJ,973,3721,0,38,0,Normal,Normal
1,tcp,telnet,S0,44,0,0,204,0,Intrusion/Attack,Port Scan
3,tcp,other,REJ,1083,527,0,19,0,Normal,Normal
6,tcp,http,REJ,130,672,0,16,1,Normal,Normal
0,tcp,smtp,S0,0,0,0,269,0,Intrusion/Attack,SYN Flood
8,tcp,http,SF,270,1513,0,17,1,Normal,Normal
3,tcp,http,SF,188,457,0,31,1,Normal,Normal
0,tcp,http,S0,128,0,0,387,0,Intrusion/Attack,SYN Flood
7,tcp,other,SF,2267,4814,0,5,0,Normal,Normal
29,udp,dns,SF,322,5269,0,6,0,Normal,Normal
7,tcp,ssh,SF,1425,582,0,3,1,Normal,Normal
54,tcp,ssh,SF,30,7079,0,1,0,Normal,Normal
9,tcp,http,SF,310,4776,0,11,1,Normal,Normal
33,tcp,smtp,SF,55,1506,0,2,1,Normal,Normal
2,tcp,smtp,REJ,20,20,0,105,0,Intrusion/Attack,Port Scan
2,tcp,ssh,SF,464,196,5,31,0,Intrusion/Attack,Brute Force
5,udp,dns,SF,361,493,0,21,0,Normal,Normal
23,udp,dns,SF,86,3794,0,34,0,Normal,Normal
5,tcp,http,SF,1213,1629,0,8,1,Normal,Normal
31,udp,dns,SF,259,4237,0,5,0,Normal,Normal
10,udp,dns,SF,526,3048,0,90,0,Normal,Normal
3,tcp,http,SF,569,1114,0,13,1,Normal,Normal
70,tcp,ssh,SF,918,1401,0,8,1,Normal,Normal
1,tcp,smtp,S0,128,0,0,309,0,Intrusion/Attack,SYN Flood
0,tcp,telnet,REJ,20,0,0,273,0,Intrusion/Attack,Port Scan
39,tcp,ssh,SF,201,444,2,28,0,Intrusion/Attack,Brute Force
0,tcp,http,S0,0,0,0,325,0,Intrusion/Attack,SYN Flood
2,udp,ssh,REJ,60,0,0,179,0,Intrusion/Attack,Port Scan
3,udp,dns,SF,1772,3822,0,95,0,Normal,Normal
1,tcp,ftp,SH,0,0,0,45,0,Intrusion/Attack,Port Scan
8,tcp,http,SF,263,913,0,1,1,Normal,Normal
33,tcp,ssh,SF,196,187,4,36,0,Intrusion/Attack,Brute Force
26,tcp,ssh,SF,224,383,6,21,0,Intrusion/Attack,Brute Force
5,tcp,http,SF,482,553,0,95,1,Normal,Normal
10,tcp,ssh,SF,142,432,4,20,0,Intrusion/Attack,Brute Force
53,tcp,http,SF,287,7637,0,42,1,Normal,Normal
19,tcp,http,SF,214,2574,0,13,1,Normal,Normal
5,udp,dns,SF,551,3067,0,25,0,Normal,Normal
0,tcp,http,SF,1919,39,0,3,1,Normal,Normal
8,tcp,ftp,SF,1145,1539,0,21,0,Normal,Normal
13,udp,dns,SF,210,4759,0,19,0,Normal,Normal
0,tcp,http,S0,0,0,0,283,0,Intrusion/Attack,SYN Flood
29,tcp,http,SF,30,8145,0,75,1,Normal,Normal
35,tcp,ftp,RSTO,598,241,5,36,0,Intrusion/Attack,Brute Force
22,icmp,other,SF,215,1991,0,11,0,Normal,Normal
20,tcp,http,SF,454,168,0,27,1,Normal,Normal
1,tcp,http,REJ,44,20,0,199,0,Intrusion/Attack,Port Scan
2,tcp,ftp,RSTO,184,270,3,31,0,Intrusion/Attack,Brute Force
0,tcp,http,S0,64,0,0,303,0,Intrusion/Attack,SYN Flood
22,tcp,http,SF,825,324,0,34,1,Normal,Normal
2,tcp,http,SF,1507,3932,0,5,1,Normal,Normal
38,tcp,ftp,REJ,376,390,4,31,0,Intrusion/Attack,Brute Force
0,tcp,http,SF,416,3512,0,28,1,Normal,Normal
5,tcp,ssh,SF,718,432,3,25,0,Intrusion/Attack,Brute Force
44,udp,dns,SF,829,206,0,17,0,Normal,Normal
15,tcp,telnet,SF,213,422,4,29,0,Intrusion/Attack,Brute Force
0,tcp,http,S0,32,48,0,242,0,Intrusion/Attack,SYN Flood
29,tcp,http,SF,1480,7036,0,4,1,Normal,Normal
14,tcp,http,SF,1034,1114,0,7,1,Normal,Normal
12,tcp,ftp,SF,1387,6829,0,2,1,Normal,Normal
0,tcp,smtp,S0,40,0,0,237,0,Intrusion/Attack,SYN Flood
1,tcp,smtp,SF,443,142,0,10,1,Normal,Normal
5,udp,dns,SF,1977,122,0,13,0,Normal,Normal
0,tcp,http,SF,62,192,0,28,1,Normal,Normal
3,tcp,http,SF,781,72,0,10,1,Normal,Normal
2,tcp,http,SF,695,12456,0,15,1,Normal,Normal
4,tcp,http,SF,37,4056,0,52,1,Normal,Normal
1,tcp,http,S0,128,0,0,392,0,Intrusion/Attack,SYN Flood
0,tcp,http,S0,0,0,0,307,0,Intrusion/Attack,SYN Flood
8,udp,dns,SF,1159,227,0,49,0,Normal,Normal
1,tcp,ssh,REJ,120,0,0,182,0,Intrusion/Attack,Port Scan
4,tcp,http,SF,443,5911,0,3,1,Normal,Normal
0,icmp,other,REJ,20,0,0,213,0,Intrusion/Attack,Port Scan
10,icmp,other,SF,118,2756,0,2,0,Normal,Normal
58,tcp,http,SF,446,13298,0,4,1,Normal,Normal
33,tcp,http,SF,285,560,0,4,1,Normal,Normal
19,tcp,http,SF,1877,2264,0,23,0,Normal,Normal
2,tcp,http,SF,352,1303,0,10,1,Normal,Normal
14,udp,dns,SF,307,194,0,15,0,Normal,Normal
